county,stname,coname,returns,exempts
42025,PA,Carbon County,-34,-61
37021,NC,Buncombe County,-39,-63
24043,MD,Washington County,-35,-64
36015,NY,Chemung County,-28,-65
45083,SC,Spartanburg County,-37,-65
53061,WA,Snohomish County,-29,-65
34021,NJ,Mercer County,43,-66
48027,TX,Bell County,-39,-66
13215,GA,Muscogee County,-34,-67
18057,IN,Hamilton County,-25,-68
47037,TN,Davidson County,-44,-68
12081,FL,Manatee County,-44,-69
34011,NJ,Cumberland County,-20,-70
45075,SC,Orangeburg County,-35,-71
20091,KS,Johnson County,-10,-72
25021,MA,Norfolk County,52,-72
39099,OH,Mahoning County,-28,-72
13247,GA,Rockdale County,-39,-73
26125,MI,Oakland County,6,-73
48121,TX,Denton County,-23,-74
13223,GA,Paulding County,-40,-75
22051,LA,Jefferson Parish,-31,-75
15003,HI,Honolulu County,-27,-78
53053,WA,Pierce County,-35,-78
12119,FL,Sumter County,-50,-79
25015,MA,Hampshire County,-30,-79
34001,NJ,Atlantic County,-9,-81
51041,VA,Chesterfield County,-28,-81
06067,CA,Sacramento County,-39,-82
42069,PA,Lackawanna County,-23,-84
39035,OH,Cuyahoga County,4,-85
42017,PA,Bucks County,18,-85
45045,SC,Greenville County,-42,-86
45091,SC,York County,-45,-86
36067,NY,Onondaga County,0,-87
13097,GA,Douglas County,-42,-88
51510,VA,Alexandria city,-40,-88
25003,MA,Berkshire County,-30,-89
36091,NY,Saratoga County,-11,-89
25005,MA,Bristol County,-28,-90
51760,VA,Richmond city,-13,-90
10001,DE,Kent County,-52,-91
12035,FL,Flagler County,-48,-91
12109,FL,St. Johns County,-34,-92
26081,MI,Kent County,-36,-94
34005,NJ,Burlington County,2,-97
42091,PA,Montgomery County,39,-97
34007,NJ,Camden County,33,-99
45079,SC,Richland County,-33,-99
24027,MD,Howard County,-18,-105
36021,NY,Columbia County,-66,-105
36025,NY,Delaware County,-62,-106
25027,MA,Worcester County,-16,-107
51059,VA,Fairfax County,32,-108
37179,NC,Union County,-52,-109
51550,VA,Chesapeake city,-50,-109
06013,CA,Contra Costa County,-46,-110
06065,CA,Riverside County,-49,-110
45051,SC,Horry County,-62,-110
12115,FL,Sarasota County,-54,-111
12053,FL,Hernando County,-67,-113
48029,TX,Bexar County,-41,-114
09005,CT,Litchfield County,-44,-115
42127,PA,Wayne County,-57,-115
06041,CA,Marin County,-58,-120
51087,VA,Henrico County,-52,-121
37025,NC,Cabarrus County,-65,-123
37051,NC,Cumberland County,-64,-123
42133,PA,York County,-43,-125
22071,LA,Orleans Parish,-100,-127
06059,CA,Orange County,-7,-133
36065,NY,Oneida County,-40,-136
48085,TX,Collin County,-29,-138
42043,PA,Dauphin County,-46,-143
25013,MA,Hampden County,-55,-145
12031,FL,Duval County,-61,-150
13151,GA,Henry County,-68,-152
42075,PA,Lebanon County,-55,-152
45019,SC,Charleston County,-79,-152
12111,FL,St. Lucie County,-90,-154
36093,NY,Schenectady County,-46,-154
42071,PA,Lancaster County,-53,-155
08031,CO,Denver County,-107,-160
58000,SS,Other flows - Same State,-26,-160
12101,FL,Pasco County,-73,-162
42003,PA,Allegheny County,-22,-165
25009,MA,Essex County,-40,-166
12009,FL,Brevard County,-65,-168
12105,FL,Polk County,-79,-173
24005,MD,Baltimore County,-34,-173
24033,MD,Prince George's County,-82,-176
42045,PA,Delaware County,-45,-176
12021,FL,Collier County,-99,-179
12083,FL,Marion County,-87,-180
24510,MD,Baltimore city,-45,-182
12069,FL,Lake County,-96,-187
37081,NC,Guilford County,-83,-202
06073,CA,San Diego County,-74,-204
42103,PA,Pike County,-90,-204
51810,VA,Virginia Beach city,-85,-204
13089,GA,DeKalb County,-71,-208
39049,OH,Franklin County,-39,-209
06081,CA,San Mateo County,-103,-211
48439,TX,Tarrant County,-85,-215
13067,GA,Cobb County,-77,-217
41051,OR,Multnomah County,-129,-219
06085,CA,Santa Clara County,-98,-221
34035,NJ,Somerset County,-54,-221
48157,TX,Fort Bend County,-69,-223
04013,AZ,Maricopa County,-53,-229
12127,FL,Volusia County,-116,-233
36055,NY,Monroe County,-33,-238
44007,RI,Providence County,-52,-250
10003,DE,New Castle County,-60,-251
36111,NY,Ulster County,-158,-270
09003,CT,Hartford County,0,-281
12103,FL,Pinellas County,-119,-291
24031,MD,Montgomery County,-75,-299
48113,TX,Dallas County,-48,-303
13121,GA,Fulton County,-37,-311
32003,NV,Clark County,-148,-322
36007,NY,Broome County,-119,-324
53033,WA,King County,-133,-325
12117,FL,Seminole County,-128,-333
17031,IL,Cook County,-17,-337
34027,NJ,Morris County,-40,-337
36029,NY,Erie County,-28,-337
12071,FL,Lee County,-177,-351
36001,NY,Albany County,-107,-358
42095,PA,Northampton County,-140,-379
36105,NY,Sullivan County,-158,-383
13135,GA,Gwinnett County,-151,-387
42077,PA,Lehigh County,-145,-398
06001,CA,Alameda County,-210,-402
12057,FL,Hillsborough County,-142,-425
42011,PA,Berks County,-134,-439
37183,NC,Wake County,-193,-453
42079,PA,Luzerne County,-181,-477
09009,CT,New Haven County,-100,-510
06075,CA,San Francisco County,-423,-517
36079,NY,Putnam County,-220,-542
42101,PA,Philadelphia County,-39,-542
34031,NJ,Passaic County,-209,-576
12097,FL,Osceola County,-235,-604
42089,PA,Monroe County,-269,-613
37119,NC,Mecklenburg County,-247,-614
12011,FL,Broward County,-268,-775
34029,NJ,Ocean County,-281,-775
36027,NY,Dutchess County,-336,-800
12099,FL,Palm Beach County,-467,-940
36087,NY,Rockland County,-300,-1133
48201,TX,Harris County,-464,-1154
12095,FL,Orange County,-421,-1188
34039,NJ,Union County,-427,-1212
34025,NJ,Monmouth County,-427,-1227
36071,NY,Orange County,-599,-1581
34023,NJ,Middlesex County,-756,-1822
36103,NY,Suffolk County,-655,-2143
09001,CT,Fairfield County,-753,-2361
34013,NJ,Essex County,-887,-2422
34017,NJ,Hudson County,-1467,-2871
06037,CA,Los Angeles County,-1718,-3109
59000,DS,Other flows - Different State,-703,-3319
57001,FR,Foreign - Overseas,-1947,-3449
48453,TX,Travis County,-2211,-3480
34003,NJ,Bergen County,-1316,-3541
36119,NY,Westchester County,-2991,-7608
36059,NY,Nassau County,-3140,-10036
