,co_fips,co_name,state,inflow2011_12,outflow2011_12,cbsa_code,cbsa_name,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
242,39153,Summit County,OH,61,81,10420,"Akron, OH",-20,112,86,26,60,36,24,67,0,67,203.0,223.0,173.0,214.0,185.0,216.0,160.0,195.0,300,203,97,46,-2,43
243,47065,Hamilton County,TN,59,44,16860,"Chattanooga, TN-GA",15,46,89,-43,0,0,0,0,0,0,204.0,251.0,217.0,212.0,215.0,225.0,191.0,195.0,105,133,-28,-58,43,0
244,51550,Chesapeake city,VA,59,147,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-88,68,177,-109,30,117,-87,33,41,-8,204.0,184.0,198.0,172.0,207.0,181.0,178.0,183.0,190,482,-292,-21,22,79
245,44005,Newport County,RI,58,48,39300,"Providence-Warwick, RI-MA",10,36,80,-44,0,27,-27,0,36,-36,205.0,248.0,227.0,217.0,215.0,224.0,191.0,188.0,94,191,-97,-54,17,-9
246,36077,Otsego County,NY,57,64,36580,"Oneonta, NY",-7,45,100,-55,0,0,0,0,41,-41,206.0,234.0,218.0,204.0,215.0,225.0,191.0,183.0,102,205,-103,-48,55,-41
247,12015,Charlotte County,FL,57,122,39460,"Punta Gorda, FL",-65,34,89,-55,0,0,0,0,0,0,206.0,198.0,229.0,212.0,215.0,225.0,191.0,195.0,91,211,-120,10,55,0
248,34009,Cape May County,NJ,55,97,36140,"Ocean City, NJ",-42,20,31,-11,0,0,0,21,0,21,207.0,213.0,243.0,259.0,215.0,225.0,190.0,195.0,96,128,-32,31,11,21
249,48491,Williamson County,TX,54,97,12420,"Austin-Round Rock, TX",-43,79,128,-49,36,105,-69,0,54,-54,208.0,213.0,189.0,193.0,202.0,186.0,191.0,174.0,169,384,-215,-6,-20,15
250,13245,Richmond County,GA,54,109,12260,"Augusta-Richmond County, GA-SC",-55,65,103,-38,0,0,0,0,0,0,208.0,206.0,201.0,201.0,215.0,225.0,191.0,195.0,119,212,-93,17,38,0
251,37129,New Hanover County,NC,53,89,48900,"Wilmington, NC",-36,82,105,-23,66,115,-49,0,0,0,209.0,218.0,187.0,200.0,180.0,182.0,191.0,195.0,201,309,-108,13,-26,49
252,10005,Sussex County,DE,53,126,41540,"Salisbury, MD-DE",-73,38,71,-33,0,0,0,0,0,0,209.0,196.0,225.0,225.0,215.0,225.0,191.0,195.0,91,197,-106,40,33,0
253,25011,Franklin County,MA,53,35,24640,"Greenfield Town, MA",18,28,24,4,0,0,0,0,0,0,209.0,260.0,235.0,266.0,215.0,225.0,191.0,195.0,81,59,22,-14,-4,0
254,35049,Santa Fe County,NM,53,58,42140,"Santa Fe, NM",-5,66,81,-15,26,70,-44,23,36,-13,209.0,240.0,200.0,216.0,211.0,201.0,188.0,188.0,168,245,-77,-10,-29,31
255,09013,Tolland County,CT,52,35,25540,"Hartford-West Hartford-East Hartford, CT",17,54,60,-6,52,0,52,0,0,0,210.0,260.0,211.0,234.0,190.0,225.0,191.0,195.0,158,95,63,-23,58,-52
256,13097,Douglas County,GA,51,105,12060,"Atlanta-Sandy Springs-Roswell, GA",-54,48,136,-88,0,41,-41,0,52,-52,211.0,209.0,215.0,190.0,215.0,213.0,191.0,176.0,99,334,-235,-34,47,-11
257,39095,Lucas County,OH,51,62,45780,"Toledo, OH",-11,42,56,-14,27,0,27,0,0,0,211.0,236.0,221.0,237.0,210.0,225.0,191.0,195.0,120,118,2,-3,41,-27
258,36069,Ontario County,NY,51,33,40380,"Rochester, NY",18,28,68,-40,0,0,0,0,0,0,211.0,262.0,235.0,228.0,215.0,225.0,191.0,195.0,79,101,-22,-58,40,0
259,24043,Washington County,MD,50,21,25180,"Hagerstown-Martinsburg, MD-WV",29,0,64,-64,0,0,0,0,0,0,212.0,273.0,253.0,231.0,215.0,225.0,191.0,195.0,50,85,-35,-93,64,0
260,48215,Hidalgo County,TX,50,62,32580,"McAllen-Edinburg-Mission, TX",-12,34,44,-10,0,0,0,0,0,0,212.0,236.0,229.0,246.0,215.0,225.0,191.0,195.0,84,106,-22,2,10,0
261,18105,Monroe County,IN,50,65,14020,"Bloomington, IN",-15,74,40,34,32,0,32,0,0,0,212.0,233.0,192.0,250.0,205.0,225.0,191.0,195.0,156,105,51,49,-2,-32
262,12061,Indian River County,FL,50,69,42680,"Sebastian-Vero Beach, FL",-19,41,80,-39,0,45,-45,0,0,0,212.0,230.0,222.0,217.0,215.0,209.0,191.0,195.0,91,194,-103,-20,-6,45
263,55133,Waukesha County,WI,49,50,33340,"Milwaukee-Waukesha-West Allis, WI",-1,30,56,-26,24,0,24,0,0,0,213.0,247.0,233.0,237.0,213.0,225.0,191.0,195.0,103,106,-3,-25,50,-24
264,36019,Clinton County,NY,49,0,38460,"Plattsburgh, NY",49,0,15,-15,0,0,0,0,0,0,213.0,284.0,253.0,275.0,215.0,225.0,191.0,195.0,49,15,34,-64,15,0
265,44003,Kent County,RI,49,66,39300,"Providence-Warwick, RI-MA",-17,67,78,-11,32,0,32,0,0,0,213.0,232.0,199.0,219.0,205.0,225.0,191.0,195.0,148,144,4,6,43,-32
266,47125,Montgomery County,TN,47,131,17300,"Clarksville, TN-KY",-84,72,115,-43,0,49,-49,0,0,0,214.0,194.0,194.0,196.0,215.0,207.0,191.0,195.0,119,295,-176,41,-6,49
267,45013,Beaufort County,SC,47,92,25940,"Hilton Head Island-Bluffton-Beaufort, SC",-45,73,115,-42,32,35,-3,26,78,-52,214.0,217.0,193.0,196.0,205.0,217.0,185.0,166.0,178,320,-142,3,39,-49
268,12091,Okaloosa County,FL,47,29,18880,"Crestview-Fort Walton Beach-Destin, FL",18,25,24,1,0,0,0,0,0,0,214.0,266.0,238.0,266.0,215.0,225.0,191.0,195.0,72,53,19,-17,-1,0
269,26065,Ingham County,MI,46,46,29620,"Lansing-East Lansing, MI",0,57,58,-1,30,0,30,0,0,0,215.0,249.0,209.0,236.0,207.0,225.0,191.0,195.0,133,104,29,-1,31,-30
270,42127,Wayne County,PA,46,132,,non-metro,-86,37,152,-115,0,48,-48,0,0,0,215.0,193.0,226.0,185.0,215.0,208.0,191.0,195.0,83,332,-249,-29,67,48
271,06097,Sonoma County,CA,45,92,42220,"Santa Rosa, CA",-47,64,90,-26,44,90,-46,29,34,-5,216.0,217.0,202.0,211.0,194.0,191.0,182.0,189.0,182,306,-124,21,-20,41
272,24021,Frederick County,MD,45,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-6,66,95,-29,27,123,-96,33,0,33,216.0,246.0,200.0,206.0,210.0,178.0,178.0,195.0,171,269,-98,-23,-67,129
273,01089,Madison County,AL,44,43,26620,"Huntsville, AL",1,63,38,25,0,0,0,0,0,0,217.0,252.0,203.0,252.0,215.0,225.0,191.0,195.0,107,81,26,24,-25,0
274,01101,Montgomery County,AL,44,44,33860,"Montgomery, AL",0,21,45,-24,0,0,0,0,0,0,217.0,251.0,242.0,245.0,215.0,225.0,191.0,195.0,65,89,-24,-24,24,0
275,37021,Buncombe County,NC,44,86,11700,"Asheville, NC",-42,50,113,-63,50,94,-44,32,64,-32,217.0,220.0,213.0,197.0,192.0,189.0,179.0,171.0,176,357,-181,-21,19,12
276,06087,Santa Cruz County,CA,44,53,42100,"Santa Cruz-Watsonville, CA",-9,57,60,-3,25,69,-44,0,30,-30,217.0,245.0,209.0,234.0,212.0,202.0,191.0,192.0,126,212,-86,6,-41,14
277,41039,Lane County,OR,43,38,21660,"Eugene, OR",5,42,61,-19,0,0,0,22,0,22,218.0,257.0,221.0,233.0,215.0,225.0,189.0,195.0,107,99,8,-24,19,22
278,08069,Larimer County,CO,42,36,22660,"Fort Collins, CO",6,47,18,29,0,0,0,0,0,0,219.0,259.0,216.0,272.0,215.0,225.0,191.0,195.0,89,54,35,23,-29,0
279,18157,Tippecanoe County,IN,42,12,29200,"Lafayette-West Lafayette, IN",30,16,0,16,0,0,0,0,0,0,219.0,282.0,247.0,281.0,215.0,225.0,191.0,195.0,58,12,46,-14,-16,0
280,42025,Carbon County,PA,42,26,10900,"Allentown-Bethlehem-Easton, PA-NJ",16,0,61,-61,0,41,-41,0,0,0,219.0,269.0,253.0,233.0,215.0,213.0,191.0,195.0,42,128,-86,-77,20,41
281,12109,St. Johns County,FL,42,115,27260,"Jacksonville, FL",-73,62,154,-92,23,128,-105,29,0,29,219.0,202.0,204.0,183.0,214.0,175.0,182.0,195.0,156,397,-241,-19,-13,134
282,06029,Kern County,CA,41,37,12540,"Bakersfield, CA",4,32,59,-27,0,0,0,0,0,0,220.0,258.0,231.0,235.0,215.0,225.0,191.0,195.0,73,96,-23,-31,27,0
283,06053,Monterey County,CA,41,48,41500,"Salinas, CA",-7,41,53,-12,0,30,-30,21,0,21,220.0,248.0,222.0,239.0,215.0,222.0,190.0,195.0,103,131,-28,-5,-18,51
284,20173,Sedgwick County,KS,41,14,48620,"Wichita, KS",27,75,64,11,0,0,0,0,0,0,220.0,280.0,191.0,231.0,215.0,225.0,191.0,195.0,116,78,38,-16,-11,0
285,45063,Lexington County,SC,40,76,17900,"Columbia, SC",-36,39,70,-31,0,0,0,0,0,0,221.0,226.0,224.0,226.0,215.0,225.0,191.0,195.0,79,146,-67,5,31,0
286,41005,Clackamas County,OR,40,19,38900,"Portland-Vancouver-Hillsboro, OR-WA",21,16,41,-25,0,0,0,0,0,0,221.0,275.0,247.0,249.0,215.0,225.0,191.0,195.0,56,60,-4,-46,25,0
287,27037,Dakota County,MN,40,55,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",-15,33,75,-42,28,0,28,32,0,32,221.0,243.0,230.0,221.0,209.0,225.0,179.0,195.0,133,130,3,-27,70,4
288,06079,San Luis Obispo County,CA,39,36,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",3,27,13,14,0,0,0,0,0,0,222.0,259.0,236.0,277.0,215.0,225.0,191.0,195.0,66,49,17,11,-14,0
289,17197,Will County,IL,39,37,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2,44,34,10,0,0,0,0,0,0,222.0,258.0,219.0,256.0,215.0,225.0,191.0,195.0,83,71,12,8,-10,0
290,33013,Merrimack County,NH,39,19,18180,"Concord, NH",20,31,45,-14,0,0,0,0,0,0,222.0,275.0,232.0,245.0,215.0,225.0,191.0,195.0,70,64,6,-34,14,0
291,48339,Montgomery County,TX,39,85,26420,"Houston-The Woodlands-Sugar Land, TX",-46,34,81,-47,0,40,-40,0,0,0,222.0,221.0,229.0,216.0,215.0,214.0,191.0,195.0,73,206,-133,-1,7,40
292,01097,Mobile County,AL,38,44,33660,"Mobile, AL",-6,61,75,-14,0,0,0,0,0,0,223.0,251.0,205.0,221.0,215.0,225.0,191.0,195.0,99,119,-20,-8,14,0
293,09015,Windham County,CT,38,81,49340,"Worcester, MA-CT",-43,20,15,5,0,0,0,0,0,0,223.0,223.0,243.0,275.0,215.0,225.0,191.0,195.0,58,96,-38,48,-5,0
294,06019,Fresno County,CA,37,137,23420,"Fresno, CA",-100,70,106,-36,0,43,-43,28,51,-23,224.0,188.0,196.0,199.0,215.0,211.0,183.0,177.0,135,337,-202,64,-7,20
295,53067,Thurston County,WA,37,34,36500,"Olympia-Tumwater, WA",3,15,0,15,0,0,0,0,0,0,224.0,261.0,248.0,281.0,215.0,225.0,191.0,195.0,52,34,18,12,-15,0
296,19103,Johnson County,IA,36,77,26980,"Iowa City, IA",-41,64,101,-37,26,0,26,0,0,0,225.0,225.0,202.0,203.0,211.0,225.0,191.0,195.0,126,178,-52,4,63,-26
297,18003,Allen County,IN,35,0,23060,"Fort Wayne, IN",35,0,59,-59,0,0,0,0,0,0,226.0,284.0,253.0,235.0,215.0,225.0,191.0,195.0,35,59,-24,-94,59,0
298,42049,Erie County,PA,33,76,21500,"Erie, PA",-43,20,53,-33,34,0,34,0,0,0,227.0,226.0,243.0,239.0,204.0,225.0,191.0,195.0,87,129,-42,10,67,-34
299,33017,Strafford County,NH,33,34,14460,"Boston-Cambridge-Newton, MA-NH",-1,19,42,-23,0,0,0,0,0,0,227.0,261.0,244.0,248.0,215.0,225.0,191.0,195.0,52,76,-24,-22,23,0
300,45083,Spartanburg County,SC,33,0,43900,"Spartanburg, SC",33,24,89,-65,0,0,0,0,0,0,227.0,284.0,239.0,212.0,215.0,225.0,191.0,195.0,57,89,-32,-98,65,0
301,29019,Boone County,MO,33,18,17860,"Columbia, MO",15,37,15,22,0,0,0,0,0,0,227.0,276.0,226.0,275.0,215.0,225.0,191.0,195.0,70,33,37,7,-22,0
302,53035,Kitsap County,WA,33,18,14740,"Bremerton-Silverdale, WA",15,25,35,-10,0,0,0,0,0,0,227.0,276.0,238.0,255.0,215.0,225.0,191.0,195.0,58,53,5,-25,10,0
303,12087,Monroe County,FL,31,44,28580,"Key West, FL",-13,49,40,9,0,0,0,0,0,0,228.0,251.0,214.0,250.0,215.0,225.0,191.0,195.0,80,84,-4,22,-9,0
304,47187,Williamson County,TN,31,37,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",-6,69,71,-2,0,39,-39,33,0,33,228.0,258.0,197.0,225.0,215.0,215.0,178.0,195.0,133,147,-14,4,-37,72
305,08037,Eagle County,CO,31,20,20780,"Edwards, CO",11,10,15,-5,0,0,0,0,0,0,228.0,274.0,252.0,275.0,215.0,225.0,191.0,195.0,41,35,6,-16,5,0
306,36075,Oswego County,NY,31,0,45060,"Syracuse, NY",31,20,0,20,0,0,0,0,0,0,228.0,284.0,243.0,281.0,215.0,225.0,191.0,195.0,51,0,51,-11,-20,0
307,12033,Escambia County,FL,30,53,37860,"Pensacola-Ferry Pass-Brent, FL",-23,49,69,-20,0,0,0,0,0,0,229.0,245.0,214.0,227.0,215.0,225.0,191.0,195.0,79,122,-43,3,20,0
308,06077,San Joaquin County,CA,28,19,44700,"Stockton-Lodi, CA",9,24,56,-32,0,0,0,0,0,0,230.0,275.0,239.0,237.0,215.0,225.0,191.0,195.0,52,75,-23,-41,32,0
309,18057,Hamilton County,IN,27,57,26900,"Indianapolis-Carmel-Anderson, IN",-30,26,94,-68,0,0,0,0,0,0,231.0,241.0,237.0,207.0,215.0,225.0,191.0,195.0,53,151,-98,-38,68,0
310,36057,Montgomery County,NY,27,46,11220,"Amsterdam, NY",-19,0,30,-30,0,0,0,0,0,0,231.0,249.0,253.0,260.0,215.0,225.0,191.0,195.0,27,76,-49,-11,30,0
311,37147,Pitt County,NC,27,115,24780,"Greenville, NC",-88,45,106,-61,0,0,0,0,0,0,231.0,202.0,218.0,199.0,215.0,225.0,191.0,195.0,72,221,-149,27,61,0
312,50027,Windsor County,VT,26,17,17200,"Claremont-Lebanon, NH-VT",9,30,43,-13,0,0,0,0,0,0,232.0,277.0,233.0,247.0,215.0,225.0,191.0,195.0,56,60,-4,-22,13,0
313,13021,Bibb County,GA,25,16,31420,"Macon-Bibb County, GA",9,21,18,3,0,0,0,0,0,0,233.0,278.0,242.0,272.0,215.0,225.0,191.0,195.0,46,34,12,-6,-3,0
314,53011,Clark County,WA,25,17,38900,"Portland-Vancouver-Hillsboro, OR-WA",8,17,32,-15,0,0,0,0,0,0,233.0,277.0,246.0,258.0,215.0,225.0,191.0,195.0,42,49,-7,-23,15,0
315,06061,Placer County,CA,25,0,40900,"Sacramento--Roseville--Arden-Arcade, CA",25,42,13,29,0,0,0,0,0,0,233.0,284.0,221.0,277.0,215.0,225.0,191.0,195.0,67,13,54,4,-29,0
316,45041,Florence County,SC,25,60,22500,"Florence, SC",-35,20,45,-25,0,0,0,0,0,0,233.0,238.0,243.0,245.0,215.0,225.0,191.0,195.0,45,105,-60,10,25,0
317,45075,Orangeburg County,SC,25,83,36700,"Orangeburg, SC",-58,0,71,-71,0,0,0,0,32,-32,233.0,222.0,253.0,225.0,215.0,225.0,191.0,190.0,25,186,-161,-13,71,-32
318,17089,Kane County,IL,24,40,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-16,46,26,20,0,0,0,0,0,0,234.0,255.0,217.0,264.0,215.0,225.0,191.0,195.0,70,66,4,36,-20,0
319,39093,Lorain County,OH,24,56,17460,"Cleveland-Elyria, OH",-32,14,17,-3,0,0,0,0,0,0,234.0,242.0,249.0,273.0,215.0,225.0,191.0,195.0,38,73,-35,29,3,0
320,36015,Chemung County,NY,24,34,21300,"Elmira, NY",-10,15,80,-65,0,0,0,0,0,0,234.0,261.0,248.0,217.0,215.0,225.0,191.0,195.0,39,114,-75,-55,65,0
321,50001,Addison County,VT,24,0,,non-metro,24,0,0,0,0,0,0,0,0,0,234.0,284.0,253.0,281.0,215.0,225.0,191.0,195.0,24,0,24,-24,0,0
322,17111,McHenry County,IL,23,66,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-43,16,14,2,0,0,0,0,0,0,235.0,232.0,247.0,276.0,215.0,225.0,191.0,195.0,39,80,-41,45,-2,0
323,26077,Kalamazoo County,MI,23,0,28020,"Kalamazoo-Portage, MI",23,14,15,-1,0,0,0,0,0,0,235.0,284.0,249.0,275.0,215.0,225.0,191.0,195.0,37,15,22,-24,1,0
324,31109,Lancaster County,NE,23,0,30700,"Lincoln, NE",23,29,39,-10,0,0,0,0,0,0,235.0,284.0,234.0,251.0,215.0,225.0,191.0,195.0,52,39,13,-33,10,0
325,36113,Warren County,NY,23,70,24020,"Glens Falls, NY",-47,29,49,-20,0,0,0,0,0,0,235.0,229.0,234.0,242.0,215.0,225.0,191.0,195.0,52,119,-67,27,20,0
326,12085,Martin County,FL,23,95,38940,"Port St. Lucie, FL",-72,40,66,-26,0,35,-35,0,30,-30,235.0,214.0,223.0,230.0,215.0,217.0,191.0,192.0,63,226,-163,46,-9,5
327,37049,Craven County,NC,23,45,35100,"New Bern, NC",-22,21,34,-13,0,0,0,0,0,0,235.0,250.0,242.0,256.0,215.0,225.0,191.0,195.0,44,79,-35,9,13,0
328,18141,St. Joseph County,IN,22,28,43780,"South Bend-Mishawaka, IN-MI",-6,23,19,4,0,0,0,0,0,0,236.0,267.0,240.0,271.0,215.0,225.0,191.0,195.0,45,47,-2,10,-4,0
329,06055,Napa County,CA,22,29,34900,"Napa, CA",-7,26,47,-21,0,0,0,0,0,0,236.0,266.0,237.0,243.0,215.0,225.0,191.0,195.0,48,76,-28,-14,21,0
330,37025,Cabarrus County,NC,21,111,16740,"Charlotte-Concord-Gastonia, NC-SC",-90,0,123,-123,0,0,0,0,46,-46,237.0,205.0,253.0,194.0,215.0,225.0,191.0,180.0,21,280,-259,-33,123,-46
331,39041,Delaware County,OH,21,15,18140,"Columbus, OH",6,0,0,0,0,0,0,0,0,0,237.0,279.0,253.0,281.0,215.0,225.0,191.0,195.0,21,15,6,-6,0,0
332,12005,Bay County,FL,21,39,37460,"Panama City, FL",-18,18,35,-17,0,0,0,0,0,0,237.0,256.0,245.0,255.0,215.0,225.0,191.0,195.0,39,74,-35,1,17,0
333,51730,Petersburg city,VA,21,33,40060,"Richmond, VA",-12,0,0,0,0,0,0,0,0,0,237.0,262.0,253.0,281.0,215.0,225.0,191.0,195.0,21,33,-12,12,0,0
334,39151,Stark County,OH,21,0,15940,"Canton-Massillon, OH",21,38,17,21,0,0,0,0,0,0,237.0,284.0,225.0,273.0,215.0,225.0,191.0,195.0,59,17,42,0,-21,0
335,08097,Pitkin County,CO,21,21,24060,"Glenwood Springs, CO",0,16,19,-3,0,0,0,0,0,0,237.0,273.0,247.0,271.0,215.0,225.0,191.0,195.0,37,40,-3,-3,3,0
336,06095,Solano County,CA,20,48,46700,"Vallejo-Fairfield, CA",-28,69,64,5,0,0,0,0,0,0,238.0,248.0,197.0,231.0,215.0,225.0,191.0,195.0,89,112,-23,33,-5,0
337,13223,Paulding County,GA,20,41,12060,"Atlanta-Sandy Springs-Roswell, GA",-21,0,75,-75,0,0,0,0,0,0,238.0,254.0,253.0,221.0,215.0,225.0,191.0,195.0,20,116,-96,-54,75,0
338,02090,Fairbanks North Star Borough,AK,20,18,21820,"Fairbanks, AK",2,0,0,0,0,0,0,0,0,0,238.0,276.0,253.0,281.0,215.0,225.0,191.0,195.0,20,18,2,-2,0,0
339,23011,Kennebec County,ME,20,0,12300,"Augusta-Waterville, ME",20,0,0,0,0,0,0,0,0,0,238.0,284.0,253.0,281.0,215.0,225.0,191.0,195.0,20,0,20,-20,0,0
340,48041,Brazos County,TX,20,16,17780,"College Station-Bryan, TX",4,19,0,19,0,0,0,0,0,0,238.0,278.0,244.0,281.0,215.0,225.0,191.0,195.0,39,16,23,15,-19,0
341,16001,Ada County,ID,19,40,14260,"Boise City, ID",-21,51,17,34,0,0,0,0,0,0,239.0,255.0,212.0,273.0,215.0,225.0,191.0,195.0,70,57,13,55,-34,0
342,51177,Spotsylvania County,VA,19,36,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-17,0,0,0,0,0,0,0,0,0,239.0,259.0,253.0,281.0,215.0,225.0,191.0,195.0,19,36,-17,17,0,0
343,40027,Cleveland County,OK,19,29,36420,"Oklahoma City, OK",-10,26,27,-1,0,0,0,0,0,0,239.0,266.0,237.0,263.0,215.0,225.0,191.0,195.0,45,56,-11,9,1,0
344,49005,Cache County,UT,18,0,30860,"Logan, UT-ID",18,0,0,0,0,0,0,0,0,0,240.0,284.0,253.0,281.0,215.0,225.0,191.0,195.0,18,0,18,-18,0,0
345,24017,Charles County,MD,18,36,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-18,0,21,-21,0,0,0,0,0,0,240.0,259.0,253.0,269.0,215.0,225.0,191.0,195.0,18,57,-39,-3,21,0
346,42081,Lycoming County,PA,18,0,48700,"Williamsport, PA",18,0,24,-24,0,0,0,0,0,0,240.0,284.0,253.0,266.0,215.0,225.0,191.0,195.0,18,24,-6,-42,24,0
347,37179,Union County,NC,18,116,16740,"Charlotte-Concord-Gastonia, NC-SC",-98,0,109,-109,0,0,0,0,0,0,240.0,201.0,253.0,198.0,215.0,225.0,191.0,195.0,18,225,-207,-11,109,0
348,27003,Anoka County,MN,18,25,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",-7,0,0,0,0,0,0,0,0,0,240.0,270.0,253.0,281.0,215.0,225.0,191.0,195.0,18,25,-7,7,0,0
349,22055,Lafayette Parish,LA,18,42,29180,"Lafayette, LA",-24,19,37,-18,0,29,-29,0,37,-37,240.0,253.0,244.0,253.0,215.0,223.0,191.0,187.0,37,145,-108,6,-11,-8
350,18089,Lake County,IN,18,0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,0,21,-21,0,0,0,0,0,0,240.0,284.0,253.0,269.0,215.0,225.0,191.0,195.0,18,21,-3,-39,21,0
351,01081,Lee County,AL,18,0,12220,"Auburn-Opelika, AL",18,0,0,0,0,0,0,0,0,0,240.0,284.0,253.0,281.0,215.0,225.0,191.0,195.0,18,0,18,-18,0,0
352,28047,Harrison County,MS,17,0,25060,"Gulfport-Biloxi-Pascagoula, MS",17,16,0,16,0,0,0,0,0,0,241.0,284.0,247.0,281.0,215.0,225.0,191.0,195.0,33,0,33,-1,-16,0
353,50003,Bennington County,VT,17,22,13540,"Bennington, VT",-5,23,37,-14,0,0,0,0,0,0,241.0,272.0,240.0,253.0,215.0,225.0,191.0,195.0,40,59,-19,-9,14,0
354,15001,Hawaii County,HI,17,23,25900,"Hilo, HI",-6,0,0,0,0,0,0,0,0,0,241.0,271.0,253.0,281.0,215.0,225.0,191.0,195.0,17,23,-6,6,0,0
355,17113,McLean County,IL,17,0,14010,"Bloomington, IL",17,0,25,-25,0,0,0,0,0,0,241.0,284.0,253.0,265.0,215.0,225.0,191.0,195.0,17,25,-8,-42,25,0
356,45085,Sumter County,SC,17,19,44940,"Sumter, SC",-2,22,43,-21,0,0,0,0,0,0,241.0,275.0,241.0,247.0,215.0,225.0,191.0,195.0,39,62,-23,-19,21,0
357,24045,Wicomico County,MD,17,0,41540,"Salisbury, MD-DE",17,0,20,-20,0,0,0,0,0,0,241.0,284.0,253.0,270.0,215.0,225.0,191.0,195.0,17,20,-3,-37,20,0
358,13059,Clarke County,GA,16,36,12020,"Athens-Clarke County, GA",-20,56,33,23,0,0,0,0,0,0,242.0,259.0,210.0,257.0,215.0,225.0,191.0,195.0,72,69,3,43,-23,0
359,01125,Tuscaloosa County,AL,16,0,46220,"Tuscaloosa, AL",16,12,0,12,0,0,0,0,0,0,242.0,284.0,251.0,281.0,215.0,225.0,191.0,195.0,28,0,28,-4,-12,0
360,39099,Mahoning County,OH,16,73,49660,"Youngstown-Warren-Boardman, OH-PA",-57,14,86,-72,0,0,0,0,0,0,242.0,228.0,249.0,214.0,215.0,225.0,191.0,195.0,30,159,-129,-15,72,0
361,50023,Washington County,VT,16,36,12740,"Barre, VT",-20,31,16,15,0,0,0,0,0,0,242.0,259.0,232.0,274.0,215.0,225.0,191.0,195.0,47,52,-5,35,-15,0
362,39165,Warren County,OH,16,20,17140,"Cincinnati, OH-KY-IN",-4,25,27,-2,0,0,0,0,0,0,242.0,274.0,238.0,263.0,215.0,225.0,191.0,195.0,41,47,-6,2,2,0
364,30031,Gallatin County,MT,16,0,14580,"Bozeman, MT",16,18,13,5,0,0,0,0,0,0,242.0,284.0,245.0,277.0,215.0,225.0,191.0,195.0,34,13,21,-11,-5,0
365,42107,Schuylkill County,PA,16,87,39060,"Pottsville, PA",-71,20,58,-38,0,0,0,0,0,0,242.0,219.0,243.0,236.0,215.0,225.0,191.0,195.0,36,145,-109,33,38,0
366,51179,Stafford County,VA,16,21,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-5,48,30,18,0,39,-39,0,0,0,242.0,273.0,215.0,260.0,215.0,215.0,191.0,195.0,64,90,-26,23,-57,39
367,23031,York County,ME,15,61,38860,"Portland-South Portland, ME",-46,54,53,1,0,33,-33,0,24,-24,243.0,237.0,211.0,239.0,215.0,219.0,191.0,193.0,69,171,-102,47,-34,9
368,33005,Cheshire County,NH,15,18,28300,"Keene, NH",-3,12,0,12,0,0,0,0,0,0,243.0,276.0,251.0,281.0,215.0,225.0,191.0,195.0,27,18,9,15,-12,0
369,36013,Chautauqua County,NY,15,16,27460,"Jamestown-Dunkirk-Fredonia, NY",-1,0,13,-13,0,0,0,0,0,0,243.0,278.0,253.0,277.0,215.0,225.0,191.0,195.0,15,29,-14,-12,13,0
370,51199,York County,VA,15,0,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",15,0,0,0,0,0,0,0,0,0,243.0,284.0,253.0,281.0,215.0,225.0,191.0,195.0,15,0,15,-15,0,0
371,05007,Benton County,AR,15,59,22220,"Fayetteville-Springdale-Rogers, AR-MO",-44,0,0,0,0,0,0,0,0,0,243.0,239.0,253.0,281.0,215.0,225.0,191.0,195.0,15,59,-44,44,0,0
372,15009,Maui County,HI,15,14,27980,"Kahului-Wailuku-Lahaina, HI",1,20,29,-9,0,0,0,0,0,0,243.0,280.0,243.0,261.0,215.0,225.0,191.0,195.0,35,43,-8,-10,9,0
373,44001,Bristol County,RI,15,29,39300,"Providence-Warwick, RI-MA",-14,13,14,-1,0,0,0,0,0,0,243.0,266.0,250.0,276.0,215.0,225.0,191.0,195.0,28,43,-15,13,1,0
374,20045,Douglas County,KS,15,13,29940,"Lawrence, KS",2,30,0,30,0,0,0,0,0,0,243.0,281.0,233.0,281.0,215.0,225.0,191.0,195.0,45,13,32,28,-30,0
